text,label
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation ",positive
They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs ,negative
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line ",positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea ",positive
A few employees would remain at the Oulu plant in support functions for other group units ,neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB ,neutral
"She will succeed Krister Kylas , who has decided to leave TeliaSonera ",neutral
The first ship has been delayed and is estimated to be completed in spring 2010 ,negative
Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July ,positive
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % ",negative
The use case dramatically narrows if you go only with the hot s Ltd,neutral
"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time ",neutral
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct ",positive
`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years ,neutral
Competition authorities will have to approve the deal before it can be finalized ,neutral
The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink ,neutral
"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights ",neutral
Global life science industry is strictly regulated by international and national authorities ,neutral
"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights ",neutral
"Currently Glaston employs approximately 1,500 persons ",neutral
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country ,neutral
"For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece ",neutral
Salonen added that data shows producers ' pulp inventories in North America are declining . ,negative
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch ",positive
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 ,positive
"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country ",neutral
