text,label
"FortsetzungFolgt @FortsetzungFolgt
PC-World News: Nvidia's monstrous Volta GPU appears, packed with 21 billion transistors and... goo.gl/fb/SuHX3n",Increase 5%
"Streetinsider.com @Street_Insider
Gartner, Inc. IT to Acquire CEB for $2.6B",Decrease 5%
"BleepingComputer @BleepinComputer
Autodesk reveals it was targeted by Russian SolarWInds hackers",Decrease 5%
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said ",neutral
"LiveSquawk @LiveSquawk
Freeport in talks to sell 56% stake in Tenke Copper, could fetch $2bn  --BBG",Decrease 5%
"$Stocknewsalerts @Allstocknews
More Than 18,000 Technicians Contribute to Life-Saving Care From our Stock News Alerts App",Decrease 5%
"H.I.S @HowardIndSales @HowardIndSales
Yates Petroleum to be acquired by EOG Resources in $2.5B deak - Albuquerque Business First 
fb.me/8b9l8lhQe",Increase 5%
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier ",neutral
"Streetinsider.com @Street_Insider
ACE to Acquire Chubb Corp. $CB in @28.3B Deal
stks.co/r2Pao",Decrease 5%
- The Group -¦ s result before taxes was a loss of EUR 0.6 ( +0.6 ) million ,neutral
"Bob Herman @bobjherman
Holy crap: Molina Healthcare just ousted CEO Dr.J. Mario Molina and his brother CFO. Their dad built the company. phx.corporate-ir.net/phoenix.zhtml?...",Increase 5%
"Wali H. @what waliwears
Tapestry Beats Earnings Estimates as the New Era of Kate Spade Takes Hold: footwearnews.com/2019/business/... #shoes #footwear",Decrease 5%
"FT Breaking News @ftbreaking news
Chipotle shares dip as revenue falls just short of estimates on.ft.com/2kv1dBr",Decrease 5%
"Margin Hunt @MarginHunt
Citi initiated Etsy at Buy - fair value of $10.85 #stocks #valueinvesting bit.ly/2aIXoFf",Increase 5%
"Bloomberg @business 
Breaking: Pipeline giant Kinder Morgan to buy KMP, KMR and EPB in deal valued at $70 billion:bloomberg.com",Decrease 5%
"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros ",neutral
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland ,neutral
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full ",neutral
"Devdiscourse @dev_discourse
Musk sells Tesla shares worth $963.2 million - filings",Decrease 5%
"SimamsProperties @SimamsProperty
FleetCor Defended By Wells Fargo Against Citron Short Report: 'We Disagree With The Thesis' dlvr.it/NpjHLM",Decrease 5%
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals ",neutral
"TechRaptor @TechRaptor
ActivisionBlizzard Expected to Lay Off Hundreds Tuesday dlvr.it/QyVwyw",Decrease 5%
South America and Asia are other promising markets ,neutral
A paper mill in the central Maine town of Madison soon will have a new owner ,neutral
"Stock Titan @stock_titan
Global Payments Agrees to Acquire MineralTree, a Leader in Business-to-Business (B2B) Software-Led Payments",Increase 5%
Registration is required ,neutral
"Tyson Foods @TysonFoods
As part of its commitment towards the future of food, Tyson Ventures has invested in @NewWaveFoods, maker of plant-based shellfish. #RaisingExpectations",Decrease 5%
